m_mtrlalu;mtrakhir;blokno
349;386;WL15/007
114;114;WP01/038
518;530;WL02/090
1183;1215;MC /036
1476;1514;GV02/022
943;971;GV05/002
1077;1103;E 10/019
1701;1701;E 10/028
705;729;TA06/021
1117;1135;TA06/035
1212;1239;CG01/010
1834;1848;CG02/009
3630;3630;CG02/021
507;518;CG03/006
1357;1396;ST01/006
240;241;ST02/018
306;306;RG01/003
149;149;RG01/002
275;276;RG01/005
126;136;RW02/022
196;209;RW02/020
140;140;RG01/020
650;650;B 02/029A
77;77;D 01/021
220;220;B 02/037
413;413;H 09/005
305;337;RW02/001
0;0;G /011
428;429;W 02/023
472;472;AA05/006
345;347;RG01/006
919;938;AA05/003
34;34;RG01/019A
263;291;RW01/011
24;38;D 02/027
324;346;E 09/009
1296;1335;GF01/077
80;80;CG01/019
1513;1550;ST02/017
596;596;ST03/002
1035;1035;ST03/006
390;407;ST06/005
355;374;ST06/006
101;101;G /017
66;66;RG01/023
1093;1115;D 02/026A
383;412;E 09/016
326;353;RG01/022
357;357;RG01/017
261;283;H 07/005
204;214;E 09/022
1007;1021;D 01/020
1437;1439;E 09/010
1619;1648;B 02/061
1288;1312;E 08/023
1408;1476;GA09/018
1962;2023;TB09/011
454;476;TK03/081
639;698;PS01/050M
1118;1142;TB07/036
705;750;C 01/060
1975;2002;K 02/016
437;472;WL11/065
354;354;WL15/030
304;306;B 10/001
1057;1078;B 02/047
900;922;D 01/037
820;820;B 01/055
123;125;S /028
418;424;S /024
238;240;S /025
493;500;S /026
1406;1436;S /034
883;883;S /035
278;284;S /036
529;532;S /037
169;169;S /038
316;318;S /039
48;48;S /041
574;584;S /042
285;292;S /043
30;32;S /044
382;389;S /045
29;30;S /046
118;118;S /047
198;202;S /048
124;170;RW01/002
496;502;D 02/010
420;421;B 02/031
147;173;D 07/040
102;102;RG01/018
486;524;E 08/022
478;510;RW02/010
828;832;RG01/011
179;179;RG01/009
1104;1126;K 02/078
188;203;F 02/015
333;380;F 02/021
620;660;TE05/012
757;759;TH03/005
1566;1607;TP01/041B
190;209;EW06/067
0;0;WP16/011
200;225;TN03/035
2109;2140;E 10/023
874;874;GV03/027
627;639;GV06/027
546;562;GV08/005C
834;850;ST02/002
713;727;ST03/003
978;1003;ST05/028
1501;1524;ST06/001
1868;1900;TE05/008
343;346;EW07/003
2159;2161;WP02/052
607;619;TB03/015
2316;2316;TB06/024
16;23;E /018T
960;1023;C 02/015
472;510;DR05/022
640;704;DR06/015
3671;3671;K 07/025
733;750;A 06/011
487;487;I 02/018
3436;3436;GF04/002
2363;2448;F 01/025
2373;2390;A 06/020
15166;15414;I 01/001
249;289;C 02/056
185;206;E 04/032
398;408;E 04/031
450;461;WL10/087
97;113;WL12/023
1399;11;WL02/071
3343;3373;A 01/002
564;592;GF06/017
1358;1462;WL12/001
451;463;F 02/015A
1124;1142;TG01/010
0;0;TG01/011
1600;1657;TK08/009G
1138;1149;TP01/046
1103;1192;TF01/009
2135;2157;WP05/026
458;465;TF03/023A
1269;1292;TK03/005
790;960;GB03/002
1800;1832;GC07/048
458;472;AA03/003
434;439;D 06/017
545;572;D 06/022
2396;2466;D 01/023
29;34;D /010
742;749;CG03/002
1058;1060;GV02/015
644;667;WL17/005
1843;1848;TA06/019
416;433;ST02/001
1208;1252;D 03/012
362;419;K 07/010
1088;1088;GG04/028
5593;5638;G 01/018
921;939;ST06/003
1955;2023;TE03/024
252;276;ST03/020
1341;1341;GF01/066
293;313;H 07/108
1384;1426;RW01/009
620;658;TE06/002
1865;1948;TA05/011
449;486;TH03/015
1972;2008;TN07/016
1761;1800;EW08/017
1940;2061;TH02/001
745;805;TP02/006
3144;3192;EW06/068
1547;1569;E 09/020
67;92;KT02/003
3667;3694;TB03/008
576;584;TB07/048
2246;2270;PS01/050H
0;0;GB03/024
2955;3102;GB03/023A
683;712;C 01/063
897;914;B 02/007
777;777;H 09/001
1675;1695;D 02/003A
300;300;CG01/011
1662;1827;J 05/017
773;828;H 03/007
1549;1712;B 01/027
1881;1907;DR01/015B
463;471;MC /028
782;787;Q 02/005
163;163;ST02/012
337;349;ST02/016
2014;2060;ST05/002
693;702;ST06/002
516;542;ST06/027
2609;2690;ST06/028
1111;1147;ST07/001
115;134;WL06/039
590;607;TL05/026
443;467;TL05/032
847;866;GF01/009
795;810;GF01/075
317;335;GF08/003
1305;1340;WL17/003
924;993;TK06/008
570;600;TP01/041A
1043;1138;TF03/033
2124;2143;C 03/012
2746;2760;E 04/001
1842;1857;CC /003
1750;1879;K 01/023
381;416;F 04/001
506;557;K 04/016
383;410;C 05/001
169;222;E 02/060
828;872;K 04/003
954;954;D 03/011
5828;5906;H 02/001
440;463;TH02/010A
796;910;TN03/029
3148;3199;TF06/007
1290;1351;WP03/051
138;149;CG02/006
513;514;GF01/071
390;407;ST01/001
262;269;GF07/030
684;724;GF08/039
437;457;GF08/005
630;637;GV02/016
118;118;WP18/007
698;732;ST05/025
1499;2;WP18/008
1082;1134;ST06/026
60;65;GF08/001
150;179;K 06/005
372;374;K 02/076
358;381;D 06/073
56;80;H 11/072
110;110;RW01/010
129;134;D 01/022
154;154;K 06/009
297;304;H 11/062
366;375;B 02/032
134;141;RW01/005
127;133;H 11/071
697;728;TN03/037
307;341;TN05/030
140;143;TN05/031
638;659;F 02/012
293;322;B 01/030
589;666;PS01/059
219;239;TB08/029
630;655;A 03/019
17;17;A 04/008
953;953;AA03/007
348;363;E 02/011
851;852;WL11/063
465;465;WL11/077
346;374;WL11/078
279;279;WL02/067
1662;1699;D 01/023
876;930;C 06/016
1225;1252;A 06/021
356;356;C /005
2611;2631;F 01/005
463;510;TH01/009
2666;2668;TH03/008
271;292;TH05/006
278;303;TN03/022
653;703;TP01/037
860;910;EW08/015
2757;2766;WP03/073
1283;1337;E 07/017
1129;1170;GG03/017
25691;26165;CG /005
262;282;K 05/009
888;921;B 10/027
541;542;D 03/002
1376;1377;A 05/012
2;15;C 02/063
390;420;D 06/036
433;433;K 01/038
170;185;D 03/019
1433;1445;PS02/038
570;607;TL02/060A
7659;7801;GA01/019
286;311;TB07/040
1083;1095;TB07/039
232;249;TJ07/041
477;513;TB04/015
600;605;TE03/021
286;293;TE03/022
2792;2845;W 02/001
719;734;TL05/021
235;236;GF07/028
146;150;RW01/016
194;212;H 12/006
132;132;H 11/051
907;908;H 11/063
228;228;H 11/066
492;521;K 06/027
451;489;K 02/079
526;528;H 11/065
212;224;K 02/075
177;177;RW02/008
398;399;RG01/010
602;602;EW07/005
425;439;GF07/019
303;309;GF07/023
253;260;GF07/025
175;185;GF08/012
109;112;GF08/015
1240;1292;ST01/002
9;9;ST02/003
3754;3798;ST05/003
806;868;ST05/005
2097;2151;ST06/007
378;404;ST07/027
96;106;WL06/053
348;380;K 02/089
402;433;K 06/025
271;288;RW01/006
465;475;B 02/066
609;643;K 06/020
74;74;CM12/001
800;801;D 06/071
208;225;K 06/015
21;21;K 06/012
759;777;AA05/005
249;264;TC04/007
982;1023;TE06/012
2281;2302;TH01/001
2208;2257;TN06/017
570;607;TP01/038
1445;1469;EW10/010
483;483;EW05/009
2971;3012;C 01/003
12;12;Q 01/026
724;743;WP12/028
283;310;WP12/029
964;986;WP12/030
2857;2889;GV06/010
884;884;WL10/006
433;461;WL16/011
627;632;WL09/022
0;0;L /089
140;150;D 06/060
47;47;D 06/059
0;0;L /090
397;405;C 01/039
789;789;D 06/047
0;0;L /052A
212;225;F 02/012
0;0;L /065A
1454;1489;K 01/011
0;0;B 01/014
2796;2796;I 04/017
425;465;GG02/050
359;359;B 01/057
798;832;WL02/122
0;0;KR /001
0;0;B /001
0;0;B /002
0;0;B /003
0;0;B /005
0;0;B /006
0;0;B /007
1633;1651;K 06/022
448;486;D 02/020
444;444;K 06/011
591;604;RW01/007
100;100;RW02/002
248;265;K 06/016
625;663;K 02/091
916;923;C 01/014
52;52;K 06/032
934;934;E 09/012
35;35;E 09/003
47;47;K 06/019
838;893;K 02/092
338;380;C 05/022
280;285;K 06/031
285;304;K 06/010
757;757;K 02/083
224;224;RG01/026
724;811;RW02/025
1046;1055;H 17/003
142;144;K 02/087
554;585;GF07/026
389;404;GF08/010
436;453;GF08/018
1044;1046;GF08/019
890;890;TN07/012
919;991;TN07/003
1010;1045;WP01/075
0;0;BL0S/001
0;0;BL0S/002
0;0;BL0S/003
0;0;BL0S/003A
0;0;BL0S/005
0;0;BL0S/006
0;0;BL0U/001
0;0;BL0U/002
0;0;BL0U/003
0;0;BL0U/003A
0;0;BL0U/005
0;0;BL0U/006
995;1004;TK06/021G
1274;1304;E 02/072
155;170;A 06/020
622;630;D 08/043
49;49;E 02/035
106;106;F 03/012
193;215;A 02/066
2625;2693;WL10/080
610;620;WL06/010
327;360;WL07/058
411;450;PS05/005
832;888;TJ15/015
1686;1844;GA07/044
329;358;PS01/050R
705;749;GA01/022
553;585;TB07/035
323;323;TK03/072
357;376;F 01/003
1315;1390;K 01/007A
386;426;GG02/038
228;252;F 01/005
2271;2283;J 01/024
6267;6405;H 03/016
2838;2864;K 08/002
339;339;F 01/003A
1130;1136;E 02/056
345;345;F 05/001B
3483;3514;TA01/029
59;66;TC03/018B
169;195;TD03/012
81;85;TN03/025A
312;357;TN07/023
225;275;D 02/021
961;1076;H 07/006
142;154;H 17/010
904;922;D 01/029
663;701;K 02/086
864;888;H 12/016
1322;1322;K 06/023
308;329;E 08/020
179;179;H 17/002
527;570;K 02/067
29;29;H 12/020
850;868;H 12/023
237;240;D 02/022
1296;1332;K 02/068
593;625;E 08/021
1092;1107;K 06/029
81;81;E 08/009
1391;1416;K 02/081
248;273;GF01/008
168;180;GF01/010
100;100;GF01/073
136;138;GF01/067
1245;1245;GF01/068
525;527;GF01/081
387;404;GV02/019
550;553;GV03/011
336;355;GV03/015
219;235;GV02/017
1251;1320;GV02/006
412;450;E 09/015
204;223;TL05/027
164;164;H /021
446;451;GF07/018
333;349;GF08/035
402;407;GF08/016
325;341;GF08/017
452;452;ST07/026
1033;1089;ST07/029
326;334;ST07/002
396;428;WL06/052
432;453;TP01/049
1159;1167;TF03/023
187;216;WP03/065
1181;1202;GC01/015
669;669;TB03/009
512;562;PS01/050T
322;322;TK03/030
93;104;A 02/042
419;419;D 06/062
505;505;K 01/055
20;20;AA04/011
1012;1012;WL05/015
2270;2277;WL06/012
1500;1515;WL07/015
0;0;WL07/057
756;793;K 02/021
157;173;DR02/050
221;246;DR06/016
924;958;A 06/025
369;396;C 06/011
351;352;TA06/001D
644;680;GV03/020
29;29;E 09/026
0;0;CG02/003
935;951;CG02/005
169;170;CG02/007
80;80;Q 02/006
3012;3059;TL05/022
606;606;TL05/028
373;391;TL05/023
319;338;GF08/011
592;630;GG07/069
222;245;GG06/001
490;517;ST03/001
674;712;ST09/005
468;468;ST03/019
1884;1923;K 06/030
451;477;D 02/019
443;492;H 12/025
89;97;E 09/007
416;416;E 09/005
311;334;E 09/006
320;329;RW02/019
326;347;K 02/065
289;289;RG01/015
273;287;H 12/019
331;331;RW01/012
1262;1290;K 02/077
444;475;ST08/003
1115;1115;TE04/007
3;3;TD03/001
2858;2901;WP02/019
239;239;WP05/023
314;323;TP01/029
364;404;EW06/073
1960;1960;K /005
0;0;K /006
921;998;TJ15/001
306;306;E 07/015
182;185;K 02/011
1299;1302;WL11/073
47;51;WL16/010
279;304;WL03/010
644;714;WL08/011
2693;2693;CC /006
6061;6388;I 04/001
2641;2712;M 01/021
3244;3303;M 01/022
235;259;M 01/025
634;650;M 01/026
341;360;M 01/027
1376;1473;J 02/023
1277;1304;B 05/016
375;399;M 08/005
0;0;GG04/015
5568;5648;GG04/016
434;466;TJ05/021
1559;1597;I 08/009
5091;5134;I 08/010
1589;1589;TE03/023
616;653;GV02/005
876;878;W 01/001
717;748;Q 02/007
976;989;Q 03/023
489;518;GF07/020
382;383;GF07/021
311;330;GF07/022
268;282;GF08/009
594;624;ST05/006
0;0;ST05/021
552;579;ST07/028
465;465;WL06/038
81;92;WL06/051
234;250;H 12/037
216;236;H 12/038
423;456;E 09/011
631;651;K 02/073
330;344;K 02/070
1095;1099;K 02/090
1270;1272;H 12/009
367;369;K 02/062
0;0;H 10/037
492;526;D 02/018
254;273;H 17/009
248;268;D 02/012
150;169;D 01/036
204;204;E 08/025
173;173;RG01/008
271;307;K 06/021
252;252;H 12/039
4449;4509;TA05/010
4623;4640;EW05/086
1104;1143;I /010
0;0;I /009
0;0;I /008
1111;1190;GB03/003
380;416;GC02/022
686;688;TK04/028
1427;1470;PS01/055A
7086;7273;TD01/016
280;300;TD03/003
1081;1122;TE06/007
667;711;TK08/007
1589;1593;B 03/018
354;384;A 06/015
1394;1394;AA03/005
1154;1170;K 05/017
566;575;WL07/059
6485;6600;H 01/014
0;0;M 01/024
1075;1172;GG02/014
364;389;B 11/020
105;118;TK09/031
1078;1119;TE08/007
8945;8946;UC /001
1562;1563;CG01/007
258;293;GF01/011
603;642;TE03/029
484;522;TL05/019
529;573;TL05/020
160;180;GF07/016
78;81;GF07/015
29;45;GF07/017
401;435;K 02/085
486;490;RG01/025
257;275;D 01/029A
632;644;H 17/011
795;812;TP01/040A
208;231;E 08/005
5766;5766;WP02/026
5085;5099;WP02/053
940;940;TB05/005
2255;2286;TB07/045
213;224;TJ05/015
1525;1555;GA03/014D
90;92;TB02/007
742;780;B 01/005
547;610;C 05/003A
4579;4661;I 03/017
843;910;J 02/026
278;278;GF05/008
1454;1472;C 01/072
1532;1567;D 06/003
0;0;D 07/025
494;518;D 07/044
1100;1100;H 10/002
41;41;WL10/066
129;139;D 05/012
954;971;WL16/033
468;494;GV08/001
872;931;WL11/061
137;151;H 12/036
595;639;K 02/093
1351;1376;H 12/026
80;84;H 12/011
135;144;H 12/035
903;959;TE05/014
373;392;E 10/011
134;147;E 09/011
432;432;Q 02/006A
687;713;TL05/015
80;80;TL05/001
947;999;TL05/002
405;438;ST09/006
106;106;CG01/020
183;183;CG01/021
29;29;CG01/001
11;11;CG01/002
4641;4839;TL05/007
897;915;H 17/012
280;301;H 17/006
345;359;E 06/019
839;854;H 17/007
218;224;E 06/027
244;244;K 02/082
712;768;ST02/020
444;487;E 02/045
1770;1770;F 01/014
526;526;TD03/008
199;199;TH05/012
1627;1660;TN02/003
619;644;TP01/031
859;942;EW08/012
65;84;EW09/021
1448;1448;WP03/010
2751;2768;GC03/014
109;109;B 11/021
1028;1028;WL16/032
1131;1146;C 02/006
2439;2573;E 07/009
519;555;J 01/038
1042;1067;WL16/002
177;191;WL16/003
212;251;WL07/011
1360;1392;GB03/039
1553;1600;TB09/030
464;505;GA03/014A
2406;2556;GA07/046
454;461;CC /007
3602;3652;TB07/046
734;770;TK08/006
105;105;H 12/010
627;627;H 17/008
514;514;H 17/005
225;246;E 06/024
30;30;H 09/003
309;319;E 06/025
46;50;RW02/007
313;337;K 06/028
22;22;Q 02/028
133;140;D /023
117;128;GG05/011
182;182;B 12/025
1141;1142;ST07/025
57;62;GF07/029
969;969;ST10/002
197;209;GF08/002
503;522;ST01/003
333;356;GG05/002
695;732;ST08/002
531;571;TE06/015
501;538;TH05/003
639;639;EW10/007
640;686;TJ04/001
0;0;WP16/012
201;237;TB09/026
0;0;WP16/015
2;2;WP16/016
0;0;WP16/017
782;794;C 04/009
2241;2391;H 04/005
150;163;WP03/026
3129;3243;JJ /002
418;448;JJ /003
1527;1528;WP07/016
1215;1215;DR05/023
2567;2602;JJ /005
320;321;JJ /006
773;781;DR05/025
228;265;K 01/015A
610;662;H 04/009
345;370;AA02/006
333;333;B 01/060
1030;1037;B 02/056
373;404;E 03/030
1352;1366;K 02/012
538;573;H 09/027
2261;2293;WL11/055
1430;1445;WL02/062
311;334;WL06/023
67;84;CM12/006
208;217;TJ01/033A
79;79;TJ01/033B
604;604;TJ01/035
214;216;TJ01/035A
989;994;TJ01/035B
70;70;TJ01/036
393;394;TJ01/036B
291;305;AA03/014
3317;3362;TJ01/033
475;505;TL05/009
989;1019;B 11/033
709;709;GG06/066
1333;1335;Q 03/021
855;916;GV02/010
567;625;K 02/061
417;424;A 01/022
263;282;RW01/018
421;452;A 01/060A
259;259;RW01/003
428;461;E 06/020
369;397;K 02/088
182;191;TB03/034
1402;1435;TB07/024
1105;1181;TJ05/006
635;674;TK03/027
1734;1804;C 03/016
335;351;D 01/036
537;569;D 01/036A
1382;1483;C 04/014
1053;1121;A 01/029
69;115;H 03/036
807;878;TE01/002
613;658;TF06/017
1245;1255;C 04/001
368;398;GF06/005
1318;1319;WL09/023
184;201;E 06/021
0;0;D 06/058
56;56;E 08/010
231;269;WL15/023
4309;4368;GA07/010
0;0;KR /002
202;208;TF03/022
562;597;TF01/016
289;316;F 02/075
690;735;WP09/027
1603;1615;TN03/023
104;114;TF06/009
252;284;EW05/008
293;311;TN04/007
211;233;E 09/008
772;772;K 02/066
13;16;RG02/008
565;570;GF01/070
0;0;TL06/001
1518;1557;TL06/002
217;217;Q 01/006
1617;1660;Q 02/032
570;570;ST07/030
444;444;ST01/008
44;85;GG07/063
139;139;FJ /0G2
2148;2179;D 04/003
179;179;D 04/005
279;298;E 07/010
1247;1247;A 02/061
26;53;WL12/011
207;225;TB09/024
371;398;WL09/019
348;376;WL09/020
588;635;TB06/027
378;417;WL09/021
2614;2620;GF03/002
456;462;C 02/005
993;993;SU /001
0;0;GE01/024
349;355;MP02/029
350;351;GV03/012
309;309;Q 01/005
669;712;Q 01/006A
366;366;Q 01/010
904;928;Q 02/007A
299;299;TL05/016
834;878;GF08/023
817;817;GF08/028
676;676;WL06/056
489;489;EW05/007
2585;2585;WP08/018
1400;1415;TN07/018
411;435;F 02/076
450;481;TC04/006
563;582;TN03/018
969;994;EW07/018
190;190;K 02/057
1165;1165;E 06/023
347;369;TG01/002
1314;1394;GB02/021
715;766;TB08/033
3103;3173;GC07/038
185;201;WL02/029
136;139;WL16/001
664;666;K 04/002
279;279;F 08/015
1503;1527;A 06/026
572;605;DR03/015
816;887;M 02/002
744;832;M 02/003
166;241;B 08/024
875;959;H 12/008
503;539;GF01/016
4;4;GF01/011A
304;320;MP04/001A
533;564;GV02/018
952;994;GV02/008
61;61;GV02/007
866;879;TL06/009
575;575;Q 01/007A
103;146;Q 01/007
482;509;GF08/033
119;156;ST07/021
1013;1064;WL17/006
1821;1857;RW01/017
220;221;RG02/009
54;54;H 15/003
64;65;RG02/017
103;103;RG02/018
183;191;RG02/019
175;176;H 07/007
350;382;RG02/023
1092;1117;RG02/025
272;299;H 12/033
0;0;H 07/009
419;445;K 01/035
227;247;WL07/023
244;260;AA02/010
187;187;D 06/042
516;563;WL02/076
227;239;TJ02/031
866;866;TL02/006
1364;1433;TB10/001
25;25;FJ /0H1
212;231;EW10/008
1114;1115;KT02/007
1185;1235;EW01/018
501;521;TE03/026
436;466;TE03/027
1542;1573;E 03/010
459;488;TN03/057
3;3;TN03/057A
717;736;TF03/031
1813;1863;TF02/001
992;1000;E 06/022
677;772;GA08/026
766;852;I 03/002
201;219;K 08/024
3448;3484;B 05/034
33;33;K 07/019
359;386;E 07/019
290;290;RG02/021
4;4;RG02/011
677;687;H 15/006
723;787;RG02/006
18;19;RG02/012
496;496;RG02/016
15;16;RG02/020
72;75;RG02/022
67;72;E 07/020
135;136;RG02/003
271;275;H 12/030
69;74;RG02/007
78;97;GF01/012
1029;1094;TE03/030
425;444;MP01/003
958;1004;MP02/027
429;438;MP03/001C
1264;1333;MP04/001B
844;869;TK09/023
1095;1098;TK09/025
9;9;TK09/027
413;428;Q 02/030
134;144;Q 03/022
1974;2007;TL05/030
304;312;GF08/008
346;362;GF08/027
500;509;GF08/030
761;800;GF08/038
96;103;GG05/003
30;30;GG05/005
206;206;GG05/006
75;75;GG05/007
272;286;GG05/010
322;336;GG06/068
422;422;GG06/069
786;818;ST09/002
569;607;GA04/003
307;330;TJ05/026
2118;2163;TB06/019
616;667;TN05/001
571;609;TM02/018
1924;1969;TF03/022A
3331;3373;TH02/017
614;655;TN03/043
1430;1431;TE01/006
976;1031;TF02/006
514;537;TG01/028
290;320;WL02/011
756;771;A 02/031A
1504;1540;C 08/011
342;365;C 04/005
396;470;WL06/016
208;227;D 06/051
599;599;TK03/058
81;83;GE07/011
653;659;MP01/003A
562;562;MP02/001B
426;426;MP02/001C
591;619;MP03/001A
124;124;MP03/001B
1222;1225;MP03/030
443;511;MP03/031
316;347;GV02/009
362;369;TL06/003
1041;1054;TL06/011
1670;1742;TL05/006A
409;432;TL05/029
1989;2026;TL05/011
589;589;GF08/006
369;404;GF08/022
174;189;GF08/032
873;873;GF08/037
182;196;GG05/001
265;274;GG05/017
286;298;GG06/017
214;226;GG06/062
569;612;ST07/020
881;902;ST09/001
516;545;ST10/028
329;349;ST10/029
13;14;WL17/008
2401;2450;H 07/003
1320;1348;H 15/007
1358;1359;H 12/029
581;611;RG02/005
283;307;AA03/001
1064;1065;WL16/019A
721;721;WL03/006
